,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
309,WP_000593273.1,6.3.2.3,Escherichia coli,R310,Glutathione synthase,R00497,MRL,C00002; C00037; C00669,C00008; C00009; C00051,Km_C00008: 0.188931838; Km_C00009: 1.817505598; Km_C00051: 0.617069721; Km_C00002: 0.161686391; Km_C00037: 1.582805872; Km_C00669: 1.826,Kcat_F: 123.47175211999998; Kcat_R: 281.02322996666663,C00037;C00008;C00669;C00051;C00002;C00009,C00008_KI: 0.188931838;C00009_KI: 1.817505598;C00037_KI: 1.582805872;C00051_KI: 0.617069721;C00002_KI: 0.161686391;C00669_KI: 1.644756556
310,WP_000636571.1,1.1.1.298,Escherichia coli,R311,3-hydroxypropionate dehydrogenase (nadp+),R09289,MRL,C00006; C01013,C00005; C00080; C00222,Km_C00005: 0.018878033; Km_C00080: 2.220971107; Km_C00222: 0.134558901; Km_C00006: 0.035369549; Km_C01013: 0.661590278,Kcat_F: 4.0888064795; Kcat_R: 11.664353298,C00006;C00222;C00005;C00080;C01013,C00006_KI: 0.035369549;C00080_KI: 2.220971107;C01013_KI: 0.661590278;C00222_KI: 0.134558901;C00005_KI: 0.018878033
311,WP_000789500.1,1.6.5.9,Escherichia coli,R312,Nadh:quinone reductase (non-electrogenic),R02163,MRL,C00003; C00390,C00004; C00080; C00399,Km_C00004: 0.027977455; Km_C00080: 0.152842596; Km_C00399: 0.011979265; Km_C00003: 0.048322354; Km_C00390: 0.0165185,Kcat_F: 15.810755279999999; Kcat_R: 30.003245225,C00390;C00003;C00004;C00399;C00080,C00080_KI: 0.152842596;C00003_KI: 0.048322354;C00399_KI: 0.011979265;C00004_KI: 0.027977455;C00390_KI: 0.0165185
312,WP_000779102.1,3.1.4.46,Escherichia coli,R313,Glycerophosphodiester phosphodiesterase,R00857,MRL,C00001; C03120,C00069; C00093,Km_C00069: 0.7126727104999999; Km_C00093: 0.412042141; Km_C00001: 1.01330328; Km_C03120: 0.7126727104999999,Kcat_F: 23.2512912; Kcat_R: 169.4134539,C00114;C00670;C00001;C00189;C01233;C00093;C00069;C03120,C00093_KI: 0.412042141;C00670_KI: 0.378167301;C00069_KI: 0.4940505671666666;C00114_KI: 0.513590693;C00001_KI: 1.01330328;C00189_KI: 0.388518512;C01233_KI: 0.258681476;C03120_KI: 0.4940505671666666
315,WP_001295473.1,2.4.2.9,Escherichia coli,R316,Uracil phosphoribosyltransferase,R00966,MRL,C00013; C00105,C00106; C00119,Km_C00106: 0.021319779; Km_C00119: 0.073; Km_C00013: 0.08008413; Km_C00105: 0.066146053,Kcat_F: 1.873871115; Kcat_R: 4.0516235400000005,C00105;C00106;C00013;C00119,C00106_KI: 0.021319779;C00119_KI: 0.089360364;C00105_KI: 0.066146053;C00013_KI: 0.08008413
316,WP_000624298.1,4.3.1.17,Escherichia coli,R317,L-serine ammonia-lyase,R00220,MRL,C00065,C00014; C00022,Km_C00014: 2.321814537; Km_C00022: 0.786924958; Km_C00065: 0.995956302,Kcat_F: 3.547282326; Kcat_R: 16.004088045,C00022;C05167;C00161;C00014;C00065;C02218;C00001,C05167_KI: 1.3902921916;C00001_KI: 1.243283153;C00014_KI: 2.321814537;C00065_KI: 0.995956302;C00161_KI: 1.3902921916;C00022_KI: 0.786924958;C02218_KI: 1.603482008
320,WP_000905386.1,6.3.2.1,Escherichia coli,R321,Pantoate-beta-alanine ligase (amp-forming),R02473,MRL,C00002; C00099; C00522,C00013; C00020; C00864,Km_C00013: 0.124061711; Km_C00020: 0.025169695; Km_C00864: 0.141343907; Km_C00002: 0.045194559; Km_C00099: 0.06834615; Km_C00522: 0.063,Kcat_F: 7.739914806333334; Kcat_R: 5.114461715,C00013;C00099;C00020;C00864;C00522;C00002,C00020_KI: 0.025169695;C00002_KI: 0.045194559;C00864_KI: 0.141343907;C00013_KI: 0.124061711;C00099_KI: 0.06834615;C00522_KI: 0.163208157
321,WP_000081903.1,2.4.1.1,Escherichia coli,R322,Glycogen phosphorylase,R01821,MRL,C00009,C00103; C00718,Km_C00103: 1.0; Km_C00718: 0.982406914; Km_C00009: 0.964813828,Kcat_F: 3.29200599; Kcat_R: 24.68616551,C00718;C00009;C00103;C00369,C00009_KI: 0.964813828;C00369_KI: 0.7903061805;C00718_KI: 0.7903061805;C00103_KI: 0.615798533
324,WP_000683335.1,2.4.2.8,Escherichia coli,R325,Hypoxanthine phosphoribosyltransferase,R00190,MRL,C00013; C00020,C00119; C00147,Km_C00119: 0.033; Km_C00147: 0.044817772; Km_C00013: 0.105537586; Km_C00020: 0.031937573,Kcat_F: 2.2202513255; Kcat_R: 11.282244741,C00013;C00242;C00130;C07648;C00119;C00385;C00020;C04646;C00655;C16619;C02380;C00262;C00144;C16614;C16615;C00147,C16619_KI: 0.044879305538461534;C07648_KI: 0.019273639;C00385_KI: 0.047172796;C00242_KI: 0.031592574;C00262_KI: 0.042515699;C00147_KI: 0.044817772;C16615_KI: 0.044879305538461534;C04646_KI: 0.024149312;C02380_KI: 0.018683245;C00130_KI: 0.035979714;C16614_KI: 0.044879305538461534;C00144_KI: 0.032523356;C00013_KI: 0.105537586;C00119_KI: 0.091175258;C00655_KI: 0.058072448;C00020_KI: 0.031937573
330,WP_000177906.1,3.2.1.23,Escherichia coli,R331,Beta-galactosidase,R01100,MRL,C00001; C00243,C00031; C00124,Km_C00031: 2.871545553; Km_C00124: 2.871545553; Km_C00001: 1.750396729; Km_C00243: 2.400593519,Kcat_F: 172.924101195; Kcat_R: 262.8871038,C05796;C00243;C05403;C06136;C06135;C00001;C04911;C00031;C01290;C00221;C05394;C01190;C04884;C00124;C00267,C05796_KI: 2.0845594555;C00267_KI: 2.871545553;C04911_KI: 2.0845594555;C00221_KI: 2.871545553;C04884_KI: 2.0845594555;C00124_KI: 2.871545553;C00031_KI: 2.871545553;C01190_KI: 2.0845594555;C00001_KI: 1.750396729;C06136_KI: 2.0845594555;C06135_KI: 2.0845594555;C05403_KI: 0.560453594;C05394_KI: 0.47884959;C00243_KI: 2.400593519;C01290_KI: 2.0845594555
337,WP_001303675.1,1.1.1.60,Escherichia coli,R338,2-hydroxy-3-oxopropionate reductase,R01745,MRL,C00003; C00258,C00004; C00080; C01146,Km_C00004: 0.082195692; Km_C00080: 4.276399612; Km_C01146: 0.368014574; Km_C00003: 0.095414706; Km_C00258: 4.2,Kcat_F: 23.6986144485; Kcat_R: 28.641540485,C00006;C00003;C01146;C00004;C00005;C00258;C00080,C00004_KI: 0.082195692;C01146_KI: 0.368014574;C00003_KI: 0.095414706;C00258_KI: 1.624541521;C00080_KI: 4.276399612;C00006_KI: 0.066738613;C00005_KI: 0.087535039
339,WP_000433476.1,1.1.1.38,Escherichia coli,R340,Malate dehydrogenase (oxaloacetate-decarboxylating),R00214,MRL,C00003; C00149,C00004; C00011; C00022; C00080,Km_C00004: 0.025; Km_C00011: 2.194042683; Km_C00022: 1.729395628; Km_C00080: 11.55059338; Km_C00003: 0.065783687; Km_C00149: 0.42,Kcat_F: 69.8151725645; Kcat_R: 6.5988501500000005,C02441;C00022;C00003;C00004;C00011;C00024;C00036;C00010;C00149;C00741;C11592;C00002;C00209;C00080,C00209_KI: 1.175578475;C00011_KI: 2.194042683;C11592_KI: 1.5833840896153848;C00022_KI: 1.729395628;C00004_KI: 0.028450085;C00080_KI: 11.55059338;C00149_KI: 1.041250825;C02441_KI: 0.457719922;C00010_KI: 0.043648634;C00024_KI: 0.041134361;C00036_KI: 0.786031127;C00741_KI: 1.418430209;C00002_KI: 0.051934149;C00003_KI: 0.065783687
340,WP_000357259.1,2.5.1.7,Escherichia coli,R341,Udp-n-acetylglucosamine 1-carboxyvinyltransferase,R00660,MRL,C00043; C00074,C00009; C04631,Km_C00009: 0.125545651; Km_C04631: 0.018850554; Km_C00043: 0.018107854; Km_C00074: 0.0004,Kcat_F: 3.6118625965; Kcat_R: 1.493768679,C00009;C00074;C04631;C00043,C00009_KI: 0.125545651;C00043_KI: 0.018107854;C04631_KI: 0.018850554;C00074_KI: 0.005708944
341,WP_001338652.1,4.3.1.19,Escherichia coli,R342,Threonine ammonia-lyase,R00996,MRL,C00188,C00014; C00109,Km_C00014: 10.38471889; Km_C00109: 2.064281225; Km_C00188: 1.958139181,Kcat_F: 1.046566766; Kcat_R: 5.043314918,C00022;C05167;C00109;C00161;C00014;C00065;C00188,C00109_KI: 2.064281225;C00014_KI: 10.38471889;C00188_KI: 1.958139181;C05167_KI: 4.4057497013999996;C00161_KI: 4.4057497013999996;C00022_KI: 2.540874958;C00065_KI: 5.080734253
342,WP_000611804.1,6.3.2.2,Escherichia coli,R343,Glutamate-cysteine ligase,R00894,MRL,C00002; C00025; C00097,C00008; C00009; C00669,Km_C00008: 0.002326339; Km_C00009: 0.055343308; Km_C00669: 0.023207685; Km_C00002: 0.002550309; Km_C00025: 0.050248556; Km_C00097: 0.007867009,Kcat_F: 14.222526673333334; Kcat_R: 24.032764216666667,C00025;C00008;C00097;C00669;C00002;C00009,C00669_KI: 0.023207685;C00009_KI: 0.055343308;C00097_KI: 0.007867009;C00002_KI: 0.002550309;C00025_KI: 0.050248556;C00008_KI: 0.002326339
343,WP_000963792.1,2.6.1.11,Escherichia coli,R344,Acetylornithine transaminase,R02283,MRL,C00026; C00437,C00025; C01250,Km_C00025: 2.426485538; Km_C01250: 1.279697537; Km_C00026: 2.5; Km_C00437: 0.48,Kcat_F: 1.7007285829999998; Kcat_R: 1.930458236,C00437;C00025;C01250;C00026,C01250_KI: 1.279697537;C00437_KI: 1.062490821;C00025_KI: 2.426485538;C00026_KI: 1.556961417
345,WP_000160808.1,1.8.1.7,Escherichia coli,R346,Glutathione-disulfide reductase,R00094,MRL,C00003; C00051,C00004; C00080; C00127,Km_C00004: 0.377; Km_C00080: 0.109480821; Km_C00127: 0.076024041; Km_C00003: 0.123261236; Km_C00051: 0.215180427,Kcat_F: 53.31807817; Kcat_R: 195.1309761,C00006;C00003;C00004;C00005;C00051;C00127;C00080,C00127_KI: 0.076024041;C00006_KI: 0.068815149;C00051_KI: 0.215180427;C00080_KI: 0.109480821;C00003_KI: 0.123261236;C00004_KI: 0.045028225;C00005_KI: 0.030892735
346,WP_000153940.1,2.1.1.14,Escherichia coli,R347,5-methyltetrahydropteroyltriglutamate-homocysteine s-methyltransferase,R04405,MRL,C00155; C04489,C00073; C04144,Km_C00073: 0.131620228; Km_C04144: 0.016370501; Km_C00155: 0.034600995; Km_C04489: 0.0044,Kcat_F: 7.3117673; Kcat_R: 7.8963314295,C05335;C05698;C04144;C00155;C00073;C04489,C05335_KI: 0.136585623;C00073_KI: 0.131620228;C00155_KI: 0.034600995;C04489_KI: 0.015929598;C04144_KI: 0.016370501;C05698_KI: 0.067021389
348,WP_000176278.1,4.1.1.23,Escherichia coli,R349,Orotidine-5'-phosphate decarboxylase,R00965,MRL,C01103,C00011; C00105,Km_C00011: 0.513611078; Km_C00105: 0.017814912; Km_C01103: 7500.0014,Kcat_F: 42.0; Kcat_R: 6.343777356,C01103;C00105;C00011,C01103_KI: 0.013278763;C00105_KI: 0.017814912;C00011_KI: 0.513611078
349,WP_000586449.1,5.3.1.16,Escherichia coli,R350,1-(5-phosphoribosyl)-5-[(5,R04640,MRL,C04896,C04916,Km_C04916: 0.033016868; Km_C04896: 1.7000000000000002,Kcat_F: 9.600000000000001; Kcat_R: 8.759150445,C04916;C04896,C04896_KI: 0.040882546;C04916_KI: 0.033016868
350,WP_000224714.1,4.1.3.3,Escherichia coli,R351,N-acetylneuraminate lyase,R01811,MRL,C00270,C00022; C00645,Km_C00022: 15.15; Km_C00645: 93.85; Km_C00270: 2.8,Kcat_F: 4.94314988; Kcat_R: 5.4,C00645;C00022;C00270,C00022_KI: 4.629752159;C00270_KI: 3.076091528;C00645_KI: 22.51600647
351,WP_000970117.1,6.3.5.3,Escherichia coli,R352,Phosphoribosylformylglycinamidine synthase,R04463,MRL,C00001; C00002; C00064; C04376,C00008; C00009; C00025; C04640,Km_C00008: 0.078582101; Km_C00009: 0.854789674; Km_C00025: 0.768636644; Km_C04640: 0.0468; Km_C00001: 1.461900949; Km_C00002: 0.074124821; Km_C00064: 0.287832886; Km_C04376: 0.269139975,Kcat_F: 5.8677790420000004; Kcat_R: 3.331373709,C00025;C00008;C04376;C00001;C00002;C00064;C00009;C04640,C00002_KI: 0.074124821;C00064_KI: 0.287832886;C04376_KI: 0.269139975;C00008_KI: 0.078582101;C04640_KI: 0.133289516;C00001_KI: 1.461900949;C00009_KI: 0.854789674;C00025_KI: 0.768636644
352,WP_001290699.1,1.8.1.2,Escherichia coli,R353,Assimilatory sulfite reductase (nadph),R00858,MRL,C00001; C00006; C00283,C00005; C00080; C00094,Km_C00005: 0.034333333333333334; Km_C00080: 0.088456698; Km_C00094: 0.034765895; Km_C00001: 0.086100593; Km_C00006: 0.022510421; Km_C00283: 0.011135786,Kcat_F: 214.80196790433334; Kcat_R: 133.73348462866664,C00006;C00094;C00283;C00001;C00005;C00080,C00094_KI: 0.034765895;C00001_KI: 0.086100593;C00283_KI: 0.011135786;C00005_KI: 0.006711029;C00006_KI: 0.022510421;C00080_KI: 0.088456698
353,WP_001295467.1,6.3.2.6,Escherichia coli,R354,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,R04591,MRL,C00002; C00049; C04751,C00008; C00009; C04823,Km_C00008: 0.117618889; Km_C00009: 0.894145846; Km_C04823: 0.063450933; Km_C00002: 0.102134071; Km_C00049: 0.681172669; Km_C04751: 1.3,Kcat_F: 51.82966044333333; Kcat_R: 75.12641205333334,C00008;C04751;C04823;C00002;C00049;C00009,C04751_KI: 0.137645662;C04823_KI: 0.063450933;C00049_KI: 0.681172669;C00008_KI: 0.117618889;C00009_KI: 0.894145846;C00002_KI: 0.102134071
354,WP_000871512.1,3.2.1.21,Escherichia coli,R355,Beta-glucosidase,R00026,MRL,C00001; C00185,C00221,Km_C00221: 4.007536411; Km_C00001: 0.826479375; Km_C00185: 2.858436584,Kcat_F: 3.7550055325000002; Kcat_R: 3.25420191,C05838;C05712;C01798;C00185;C01335;C00001;C05839;C00031;C00760;C00221;C00267;C05713,C01335_KI: 2.275636498714286;C00185_KI: 2.858436584;C00267_KI: 4.007536411;C00760_KI: 2.275636498714286;C00001_KI: 0.826479375;C00221_KI: 4.007536411;C05839_KI: 0.174072668;C05712_KI: 2.275636498714286;C01798_KI: 2.275636498714286;C05713_KI: 2.275636498714286;C00031_KI: 4.007536411;C05838_KI: 0.047857631
360,WP_000080085.1,3.1.3.15,Escherichia coli,R361,Histidinol-phosphatase,R03013,MRL,C00001; C01100,C00009; C00860,Km_C00009: 0.489698946; Km_C00860: 0.055892363; Km_C00001: 0.76262486; Km_C01100: 0.048999999999999995,Kcat_F: 570.431318749; Kcat_R: 3.3056302649999996,C00001;C01100;C00009;C00860,C00001_KI: 0.76262486;C01100_KI: 0.051744033;C00009_KI: 0.489698946;C00860_KI: 0.055892363
361,WP_000114984.1,3.5.1.88,Escherichia coli,R362,Peptide deformylase,R05635,MRL,C00001; C11439,C00058; C11440,Km_C00058: 1.338482141; Km_C11440: 0.02242907; Km_C00001: 0.672419548; Km_C11439: 0.027560268,Kcat_F: 0.811379655; Kcat_R: 2.4391033395,C00058;C00001;C11439;C11440,C11439_KI: 0.027560268;C00058_KI: 1.338482141;C00001_KI: 0.672419548;C11440_KI: 0.02242907
362,WP_000789986.1,5.3.1.9,Escherichia coli,R363,Glucose-6-phosphate isomerase,R00771,MRL,C00092,C00085,Km_C00085: 0.2; Km_C00092: 0.28,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C01172;C00092;C00668;C05345;C00085,C00092_KI: 0.678788722;C00668_KI: 0.678788722;C01172_KI: 0.678788722;C00085_KI: 0.676445067;C05345_KI: 0.676445067
366,WP_000853753.1,3.1.3.11,Escherichia coli,R367,Fructose-bisphosphatase,R00762,MRL,C00001; C00354,C00009; C00085,Km_C00009: 0.320538223; Km_C00085: 0.137154579; Km_C00001: 0.495092779; Km_C00354: 0.068225,Kcat_F: 9.2345918115; Kcat_R: 0.289105657,C00097;C00665;C01172;C00001;C02086;C00447;C05345;C05382;C20679;C00354;C05378;C00009;C06232;C00085;C00008;C00020;C01478;C11215;C00074;C00002;C00736,C06232_KI: 0.131328985;C00074_KI: 0.019488197;C00447_KI: 0.011786909;C00001_KI: 0.495092779;C00085_KI: 0.137154579;C01172_KI: 0.141747043;C00665_KI: 0.028419536;C05378_KI: 0.017616788;C00097_KI: 0.104909003;C00354_KI: 0.017616788;C02086_KI: 0.154976174;C00002_KI: 0.016829839;C20679_KI: 0.130976006;C05345_KI: 0.137154579;C01478_KI: 0.28029269;C11215_KI: 0.11515654565;C05382_KI: 0.01538996;C00020_KI: 0.015665423;C00736_KI: 0.104909003;C00009_KI: 0.320538223;C00008_KI: 0.021238409
369,WP_000816280.1,5.1.3.1,Escherichia coli,R370,Ribulose-phosphate 3-epimerase,R01529,MRL,C00199,C00231,Km_C00231: 0.194523394; Km_C00199: 0.194523394,Kcat_F: 6.229903202; Kcat_R: 6.229903202,C00231;C00199,C00231_KI: 0.194523394;C00199_KI: 0.194523394
370,WP_000127356.1,2.4.2.7,Escherichia coli,R371,Adenine phosphoribosyltransferase,R04378,MRL,C00013; C04677,C00119; C04051,Km_C00119: 0.0675; Km_C04051: 0.025644096; Km_C00013: 0.051892456; Km_C04677: 0.022413682,Kcat_F: 2.6009233725; Kcat_R: 2.3062446555,C00013;C00242;C00119;C00020;C04677;C00144;C04051;C00147,C04051_KI: 0.025644096;C00013_KI: 0.051892456;C00242_KI: 0.009411949;C00144_KI: 0.023924327;C00020_KI: 0.023589913;C00119_KI: 0.063160188;C04677_KI: 0.022413682;C00147_KI: 0.010649251
371,WP_000089084.1,1.2.1.8,Escherichia coli,R372,Betaine-aldehyde dehydrogenase,R02565,MRL,C00001; C00003; C00576,C00004; C00080; C00719,Km_C00004: 0.056657359; Km_C00080: 0.653245747; Km_C00719: 1.157301188; Km_C00001: 0.683857381; Km_C00003: 0.166155353; Km_C00576: 0.13,Kcat_F: 11.865681222666666; Kcat_R: 7.030989975000001,C00006;C00003;C00004;C00001;C00005;C00719;C00080;C00576,C00006_KI: 0.085042663;C00005_KI: 0.037206434;C00004_KI: 0.056657359;C00719_KI: 1.157301188;C00003_KI: 0.166155353;C00080_KI: 0.653245747;C00001_KI: 0.683857381;C00576_KI: 1.354977608
373,WP_000853869.1,4.1.2.40,Escherichia coli,R374,Tagatose-bisphosphate aldolase,R01069,MRL,C03785,C00111; C00118,Km_C00111: 0.368511468; Km_C00118: 0.360035628; Km_C03785: 0.188512027,Kcat_F: 0.620672116; Kcat_R: 8.6813297235,C00111;C00118;C03785,C03785_KI: 0.188512027;C00111_KI: 0.368511468;C00118_KI: 0.360035628
374,WP_000639996.1,4.1.3.36,Escherichia coli,R375,"1,4-dihydroxy-2-naphthoyl-coa synthase",R04150,MRL,C03160,C00010; C03657,Km_C00010: 0.052870546; Km_C03657: 0.031073755; Km_C03160: 0.0259,Kcat_F: 0.062; Kcat_R: 920.5437117,C15547;C03160;C00001;C00010;C03657,C03657_KI: 0.031073755;C03160_KI: 0.060660176;C00010_KI: 0.052870546;C15547_KI: 0.2616526715;C00001_KI: 0.902006209
377,WP_000332036.1,1.17.4.1,Escherichia coli,R378,Ribonucleoside-diphosphate reductase,R02017,MRL,C00001; C00206; C00343,C00008; C00342,Km_C00008: 0.06649565; Km_C00342: 0.344506994; Km_C00001: 0.934629202; Km_C00206: 0.03239613; Km_C00343: 0.344506994,Kcat_F: 6.19173634; Kcat_R: 11.84904816,C02090;C16663;C00343;C01346;C00342;C03170;C00112;C00008;C00705;C03723;C00361;C00015;C00035;C00001;C00206;C04232;C16664,C00343_KI: 0.12016243192307693;C02090_KI: 0.058646727;C01346_KI: 0.094106205;C00206_KI: 0.03239613;C16664_KI: 0.030016251;C00705_KI: 0.039399628;C00001_KI: 0.934629202;C00015_KI: 0.095948279;C00112_KI: 0.045992795;C00008_KI: 0.06649565;C00035_KI: 0.046675805;C00342_KI: 0.12016243192307693;C16663_KI: 0.02834568;C00361_KI: 0.03523095;C03723_KI: 0.12016243192307693;C04232_KI: 0.12016243192307693;C03170_KI: 0.054228313
383,WP_001217335.1,1.7.1.7,Escherichia coli,R384,Gmp reductase,R01134,MRL,C00006; C00014; C00130,C00005; C00080; C00144,Km_C00005: 0.0147; Km_C00080: 1.416897535; Km_C00144: 0.0055; Km_C00006: 0.041076548; Km_C00014: 2.002981424; Km_C00130: 0.031564109,Kcat_F: 53.71167889333333; Kcat_R: 26.234212515,C00006;C00130;C00014;C00005;C00144;C00080,C00144_KI: 0.028494202;C00014_KI: 2.002981424;C00006_KI: 0.041076548;C00005_KI: 0.01557366;C00080_KI: 1.416897535;C00130_KI: 0.031564109
384,WP_000893272.1,1.2.1.41,Escherichia coli,R385,Glutamate-5-semialdehyde dehydrogenase,R03313,MRL,C00006; C00009; C01165,C00005; C00080; C03287,Km_C00005: 0.039560795; Km_C00080: 0.657063842; Km_C03287: 0.307542831; Km_C00006: 0.11499999999999999; Km_C00009: 1.657769561; Km_C01165: 2.2,Kcat_F: 9.454818469333333; Kcat_R: 17.390773305,C03287;C00006;C00005;C00009;C00080;C01165,C01165_KI: 0.918889463;C00006_KI: 0.124693066;C00005_KI: 0.039560795;C00080_KI: 0.657063842;C03287_KI: 0.307542831;C00009_KI: 1.657769561
385,WP_000493947.1,2.5.1.9,Escherichia coli,R386,Riboflavin synthase,R00066,MRL,C04332,C00255; C04732,Km_C00255: 0.004734037; Km_C04732: 0.011616812; Km_C04332: 0.007009075,Kcat_F: 0.00833; Kcat_R: 0.286855287,C00255;C04332;C04732,C00255_KI: 0.004734037;C04332_KI: 0.007009075;C04732_KI: 0.011616812
387,WP_001058802.1,1.1.1.2,Escherichia coli,R388,Alcohol dehydrogenase (nadp+),R00625,MRL,C00006; C00226,C00005; C00071; C00080,Km_C00005: 0.071021505; Km_C00071: 1.3257581866666668; Km_C00080: 3.693367481; Km_C00006: 0.212885574; Km_C00226: 1.3257581866666668,Kcat_F: 5.299930475; Kcat_R: 6.078221034,C00116;C00071;C00577;C00006;C06102;C06103;C00084;C00469;C00005;C00226;C00069;C00080,C06102_KI: 0.601238847;C00084_KI: 3.321425915;C00071_KI: 2.4196380335555556;C00577_KI: 2.040300369;C00069_KI: 2.4196380335555556;C00005_KI: 0.071021505;C00080_KI: 3.693367481;C06103_KI: 0.695547163;C00116_KI: 5.371451378;C00469_KI: 5.76950407;C00006_KI: 0.212885574;C00226_KI: 2.4196380335555556
391,WP_001151604.1,1.1.1.95,Escherichia coli,R392,Phosphoglycerate dehydrogenase,R01513,MRL,C00003; C00197,C00004; C00080; C03232,Km_C00004: 0.026533185; Km_C00080: 0.684385955; Km_C03232: 23.034; Km_C00003: 0.066957682; Km_C00197: 0.49,Kcat_F: 7.010531985; Kcat_R: 2.0896916455000003,C00197;C02630;C00003;C00004;C00026;C03232;C00080,C03232_KI: 0.046131901;C00003_KI: 0.066957682;C00004_KI: 0.026533185;C02630_KI: 0.227477387;C00197_KI: 0.144952103;C00080_KI: 0.684385955;C00026_KI: 0.125998065
393,WP_001302318.1,2.7.2.8,Escherichia coli,R394,Acetylglutamate kinase,R02649,MRL,C00002; C00624,C00008; C04133,Km_C00008: 0.220769554; Km_C04133: 0.485856205; Km_C00002: 0.227192; Km_C00624: 0.75,Kcat_F: 14.869211994999999; Kcat_R: 18.487732485000002,C00002;C04133;C00624;C00008,C04133_KI: 0.485856205;C00002_KI: 0.227192;C00008_KI: 0.220769554;C00624_KI: 1.75552249
395,WP_001109486.1,3.1.2.6,Escherichia coli,R396,Hydroxyacylglutathione hydrolase,R01736,MRL,C00001; C03451,C00051; C00256,Km_C00051: 0.190951452; Km_C00256: 0.702433646; Km_C00001: 1.413865328; Km_C03451: 0.163828984,Kcat_F: 60.577380265500004; Kcat_R: 45.422178985,C03451;C00001;C02929;C03899;C00051;C00256,C00051_KI: 0.190951452;C00001_KI: 1.413865328;C03899_KI: 0.6177698524999999;C02929_KI: 0.6177698524999999;C03451_KI: 0.163828984;C00256_KI: 0.702433646
396,WP_000866792.1,6.3.4.13,Escherichia coli,R397,Phosphoribosylamine-glycine ligase,R04144,MRL,C00002; C00037; C03090,C00008; C00009; C03838,Km_C00008: 0.031724166; Km_C00009: 0.464264423; Km_C03838: 0.158931777; Km_C00002: 0.039892685; Km_C00037: 0.369721293; Km_C03090: 0.07,Kcat_F: 3.1624124803333333; Kcat_R: 2.9344528266666665,C00037;C03838;C00008;C03090;C00002;C00009,C00008_KI: 0.031724166;C00002_KI: 0.039892685;C00037_KI: 0.369721293;C03838_KI: 0.158931777;C00009_KI: 0.464264423;C03090_KI: 0.245433092
397,WP_000816234.1,2.1.1.45,Escherichia coli,R398,Thymidylate synthase,R02101,MRL,C00143; C00365,C00364; C00415,Km_C00364: 0.024010621; Km_C00415: 0.022059904; Km_C00143: 0.3; Km_C00365: 0.008866666666666667,Kcat_F: 0.23091843; Kcat_R: 0.5548728915000001,C00365;C00364;C00415;C00143,C00415_KI: 0.022059904;C00365_KI: 0.022566346;C00143_KI: 0.023441439;C00364_KI: 0.024010621
398,WP_001170661.1,5.3.1.8,Escherichia coli,R399,Mannose-6-phosphate isomerase,R00772,MRL,C00275,C00085,Km_C00085: 0.392593026; Km_C00275: 0.454116464,Kcat_F: 17.48686851; Kcat_R: 17.92077181,C05345;C00275;C00085,C05345_KI: 0.392593026;C00085_KI: 0.392593026;C00275_KI: 0.454116464
400,WP_000131757.1,2.4.2.17,Escherichia coli,R401,Atp phosphoribosyltransferase,R01071,MRL,C00013; C02739,C00002; C00119,Km_C00002: 0.058259234; Km_C00119: 0.100563362; Km_C00013: 0.135490909; Km_C02739: 0.096474715,Kcat_F: 0.135824241; Kcat_R: 0.45889852600000003,C00002;C00013;C02739;C00119,C00002_KI: 0.058259234;C00013_KI: 0.135490909;C02739_KI: 0.096474715;C00119_KI: 0.100563362
401,WP_000337081.1,6.3.5.4,Escherichia coli,R402,Asparagine synthase (glutamine-hydrolysing),R00483,MRL,C00002; C00014; C00049,C00013; C00020; C00152,Km_C00013: 0.234596208; Km_C00020: 0.06555289; Km_C00152: 0.582034588; Km_C00002: 0.072208658; Km_C00014: 0.868321598; Km_C00049: 0.928563893,Kcat_F: 1.427939326; Kcat_R: 0.607987396,C00025;C00013;C00020;C00014;C00001;C00064;C00002;C00049;C00152,C00002_KI: 0.072208658;C00025_KI: 0.753711462;C00013_KI: 0.234596208;C00001_KI: 0.533058226;C00152_KI: 0.582034588;C00020_KI: 0.06555289;C00049_KI: 0.928563893;C00064_KI: 0.542225182;C00014_KI: 0.868321598
403,WP_000219193.1,3.6.4.13,Escherichia coli,R404,Rna helicase,R00086,MRL,C00001; C00002,C00008; C00009,Km_C00008: 0.055754796; Km_C00009: 0.760678589; Km_C00001: 0.232451633; Km_C00002: 0.04959869,Kcat_F: 2.2557374924999998; Kcat_R: 1.330235241,C00002;C00001;C00009;C00008,C00008_KI: 0.055754796;C00002_KI: 0.04959869;C00009_KI: 0.760678589;C00001_KI: 0.232451633
404,WP_000224573.1,2.7.4.22,Escherichia coli,R405,Ump kinase,R00158,MRL,C00002; C00105,C00008; C00015,Km_C00008: 0.083462797; Km_C00015: 0.128364116; Km_C00002: 0.087634064; Km_C00105: 0.07725,Kcat_F: 87.54193874500001; Kcat_R: 105.07921608999999,C00002;C00105;C00015;C00008,C00105_KI: 0.130840898;C00015_KI: 0.128364116;C00008_KI: 0.083462797;C00002_KI: 0.087634064
